source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49
20,18,0018,0,column,12,2.746124699188756e-34,2.0279452388414625e-16,2.9882605279141217e-09,0.0,3.984674801250897e-19,2.7097935847248886e-14,0.0,3.156054901864991e-07,0.0,4.8584835591851187e-23,1.1208422434980756e-34,1.6744664543821841e-09,1.0,5.496523422368705e-32,2.9533988833852806e-33,7.490435486158775e-21,1.1725301064806928e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,19,0019,0,column,12,3.013163380945112e-35,2.802351961594951e-10,3.9069008445080655e-13,3.65009695823671e-23,4.390574602577352e-18,3.432549533499696e-07,1.3578582119307477e-42,2.5254032805926974e-12,1.5881812225210404e-22,6.283473313045351e-19,1.6008613814731298e-32,3.0791883605287125e-19,1.0,5.465064010866787e-44,4.320096482082933e-34,4.292100089744997e-29,2.2953428047145508e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,20,0020,0,column,11,1.0375213829860946e-41,1.5342244492684695e-21,8.318353232959861e-17,8.539790298691372e-39,1.338193505130345e-23,4.344715292119441e-29,5.605193857299268e-45,1.2280499149842416e-18,1.046413821253721e-36,3.3646980207575155e-20,1.581687055117965e-38,1.0,1.499386854675322e-07,2.0627051646007425e-22,4.8159542383245405e-29,2.679808386131314e-36,2.440890666840624e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,21,0021,0,column,5,1.7046728875456954e-33,1.1160576462998506e-07,8.349335220599052e-13,3.596059152498813e-30,6.613221729806832e-18,1.0,0.0,3.80253686819708e-19,3.305438174589085e-28,1.2125416891083886e-22,3.7238071759804545e-38,1.523113773686721e-31,5.552539761310982e-09,0.0,0.0,1.1686026415585576e-20,8.248561000358777e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,22,0022,0,column,12,0.0,7.924556735643129e-13,2.2950271679071562e-17,3.4585597915317165e-30,1.0202453955113105e-21,1.0885413459504889e-08,0.0,6.683320563638517e-10,5.049018496808748e-41,1.1775624095817457e-26,3.7591745479215486e-38,1.5441924142170168e-16,1.0,4.512181055125911e-43,7.006492321624085e-45,2.203924623794114e-33,9.802627595279292e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1063,1076,0,column,16,3.528798236927135e-27,1.1813703511231695e-16,3.6559129204874474e-13,3.6683807770419364e-39,5.751242538782372e-16,2.3850926442192666e-11,0.0,2.038456615961401e-14,1.724931267224833e-26,1.110877920059727e-18,1.4699778395389773e-13,9.196209219759737e-31,1.898738065443683e-15,0.0,1.8119525427635683e-32,1.126512174546687e-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1064,1077,0,column,1,2.511354867356187e-37,0.9999790787696838,5.31770604655403e-14,0.0,6.882897983426285e-21,3.16186756776915e-08,0.0,5.40888192279918e-21,7.982291295549583e-21,2.3039951225315245e-22,1.0694181079460689e-32,1.767046892969642e-29,2.15649761230452e-05,0.0,3.88229226202291e-31,8.240291574128804e-22,5.593169885440485e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1065,1078,0,column,1,2.802596928649634e-45,1.0,1.887560881251929e-13,0.0,2.179540387156023e-22,1.4388794156161566e-08,0.0,1.5319059035320727e-17,1.324603157294777e-37,1.1282301013595582e-17,5.001850144781243e-34,6.4940750420643205e-25,3.5747783044826065e-07,0.0,4.684594094426207e-26,3.4315075893758336e-19,1.6739281835653763e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1066,1079,0,column,1,5.784655454854479e-34,1.0,4.625252680856562e-10,0.0,1.2430568324523318e-18,4.302670575384582e-08,0.0,2.1786646932891166e-17,2.06469010744241e-36,1.6124897395453151e-15,1.2105512591538663e-27,1.660808713403907e-31,1.0039130637906624e-09,0.0,8.656796905037456e-29,2.296187870919064e-13,4.717112389585054e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1067,1080,0,column,16,4.806967991241363e-26,3.212682742059769e-08,9.809344447830881e-10,8.407790785948902e-45,3.3753509088760812e-15,1.0909695902228123e-07,0.0,7.439560634203701e-10,1.4134133251523863e-24,4.5825668292583804e-14,9.032937226438782e-16,4.381326994667327e-31,6.331853173290741e-14,9.444751649549267e-43,3.532858399960155e-39,1.0158207230300368e-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
