beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
31,31,25,3,9.194483e-25,7.199883e-13,0.0,1.0,4.1785954e-12,5.610754e-16,3.0606284e-18,2.5242614e-16,3.706094e-15,3.5639914e-16,7.3092363e-09,1.5066846e-16,6.92912e-17,1.0525899e-16,4.0753018e-16,1.0353804e-19,1.306921e-14
32,32,33,3,5.42916e-29,5.304015e-16,0.0,0.9999923,5.941377e-14,6.7378506e-16,1.070899e-19,5.6167637e-19,5.716679e-17,7.744302e-18,6.9114185e-06,3.6741924e-17,3.0423168e-19,1.8731303e-19,3.478815e-17,2.6768962e-21,8.7282e-19
33,33,34,3,1.1870433e-25,1.8760117e-12,0.0,0.989153,5.6299788e-11,9.584546e-13,2.0704045e-17,1.4774469e-16,4.904412e-12,2.9533177e-12,0.010846029,7.0766384e-14,1.8584023e-14,1.9469333e-16,1.2873127e-13,2.6807749e-17,4.9191743e-13
34,34,29,3,7.8334997e-25,3.9716706e-11,0.0,0.9988029,1.2982931e-09,3.2413677e-14,1.2923997e-14,2.5164656e-15,6.6240256e-11,5.129041e-14,0.001197225,1.1013616e-13,5.1427165e-14,2.6115557e-14,5.3425043e-13,3.481322e-18,5.076136e-14
35,35,36,7,1.2996757e-24,3.1813339e-12,0.0,8.56266e-16,3.5320798e-07,3.4722344e-12,1.2063498e-15,1.0,1.0939104e-17,9.327062e-18,4.6413343e-26,3.6491348e-09,2.3503756e-17,8.561586e-15,3.034926e-16,1.6893419e-20,1.9739062e-17
36,36,37,7,1.2287926e-22,5.269824e-11,0.0,5.458418e-22,0.0010794551,1.5076897e-10,2.6022096e-13,0.9988487,2.5769773e-15,1.7465286e-12,1.3264771e-25,7.138244e-05,2.0492455e-16,2.5387593e-14,2.8526308e-13,9.617978e-22,1.3226167e-10
37,37,570,4,2.5903074e-26,2.4973636e-11,0.0,2.9294786e-24,0.9889871,1.2875055e-11,1.8772182e-08,0.0006931571,9.922487e-15,1.3021457e-11,2.1312911e-25,0.010320415,2.0375093e-13,2.3761928e-11,1.6142601e-10,1.5364383e-21,3.0084824e-09
38,38,39,12,2.347191e-20,4.7055406e-07,0.0,1.5074884e-10,0.00017210068,2.213679e-13,1.4546757e-14,0.010957981,1.3276306e-11,5.9578676e-17,1.4872294e-16,1.1425296e-05,0.98871166,1.3188936e-10,7.203836e-14,1.6751088e-20,0.0001456888
39,39,40,12,2.9684557e-25,9.644296e-12,0.0,1.33314615e-20,6.121433e-11,2.2994209e-14,1.3767382e-23,3.0167855e-13,2.4542908e-09,9.277501e-23,5.911469e-21,5.5924428e-08,0.9999886,1.2511482e-12,1.5029942e-15,1.1958807e-22,1.2017354e-05
40,40,44,12,1.0113297e-20,1.7517932e-12,0.0,1.752399e-07,3.359909e-08,1.2025749e-12,3.1256984e-19,0.0015493125,5.8318954e-11,4.5467197e-19,6.6904064e-19,4.8598366e-08,0.9984486,8.451208e-12,8.5549216e-16,5.363099e-16,7.239672e-08
41,41,42,7,2.7637498e-26,9.811046e-14,0.0,2.5034685e-18,7.716294e-09,1.5894605e-14,5.675723e-16,1.0,9.846977e-19,4.8256308e-20,2.2427089e-25,7.684301e-10,2.2329694e-17,4.2247955e-16,3.1172783e-20,7.139435e-22,1.3246469e-17
42,42,43,7,3.5623307e-25,1.576421e-10,0.0,2.1113582e-19,5.397363e-05,1.25825635e-11,7.605985e-13,0.9998779,3.0918363e-15,2.2685609e-14,7.497378e-22,6.678113e-05,2.3156428e-15,3.007075e-14,4.5861623e-17,3.619032e-20,9.807436e-10
43,43,35,7,6.4522457e-25,5.379997e-11,0.0,6.695114e-16,7.806697e-06,1.5923692e-12,4.0082713e-13,0.9999923,7.3280547e-16,5.073401e-16,3.20381e-23,4.0447304e-08,6.3724104e-16,5.3458625e-15,6.7019116e-16,4.772835e-19,2.4419692e-12
44,44,45,7,4.1900943e-24,5.090888e-16,0.0,2.0365498e-09,2.2211091e-10,7.329932e-15,2.5033802e-20,0.9999886,1.8016652e-14,1.1479037e-19,2.8574425e-22,1.1900079e-11,1.18708695e-05,3.694211e-14,5.7013636e-19,7.182669e-17,4.2740297e-14
45,45,46,12,2.57418e-28,3.328748e-12,0.0,1.6624791e-27,6.619764e-09,1.3163876e-14,9.910551e-19,6.9231082e-06,2.2294099e-11,2.2379142e-18,1.7728231e-25,2.3835605e-07,0.9999923,1.7713436e-09,1.776705e-15,1.18909935e-20,1.7149301e-06
46,46,41,7,4.744714e-27,8.3990364e-14,0.0,1.6254032e-30,7.188132e-07,2.2989364e-16,9.721372e-14,1.0,8.945292e-16,2.984512e-17,3.3401418e-29,1.5892228e-08,1.8145028e-12,1.2465876e-14,1.7209159e-18,2.594083e-20,2.5285676e-10
47,47,48,7,7.027987e-25,7.896463e-13,0.0,1.1258692e-18,1.5155218e-08,2.329609e-13,5.624748e-16,1.0,7.249584e-18,3.2223981e-19,9.6163283e-29,2.3948857e-10,3.4026256e-17,1.9647433e-15,1.6354596e-16,5.6167365e-21,7.5210503e-19
48,48,49,7,1.6921393e-22,7.859833e-12,0.0,1.8427715e-23,2.3331656e-06,1.1020939e-11,5.193957e-14,0.9999962,1.7083666e-15,1.9216247e-16,7.5009877e-28,3.7326268e-07,1.9074626e-17,7.7635657e-16,8.980174e-14,1.5433523e-21,5.362739e-13
49,49,667,7,2.8928558e-23,1.6220687e-10,0.0,3.2880287e-23,0.0041875024,4.948934e-12,1.43951e-09,0.99568343,3.7936234e-13,1.2158074e-14,1.5066712e-26,0.00012841747,2.72286e-14,1.6786647e-13,2.3805569e-11,1.9171023e-21,1.8252669e-08
50,50,51,3,1.060573e-26,2.7448245e-13,0.0,1.0,8.737896e-11,2.2863437e-15,2.5541894e-18,7.637926e-09,3.727683e-18,4.451262e-21,2.4534164e-12,2.1275997e-13,2.9583293e-16,1.1682211e-17,1.1677503e-22,1.660799e-20,1.5540528e-19
51,51,52,3,3.2495823e-25,1.3566036e-09,0.0,0.99977106,1.9223237e-06,4.925265e-10,2.4104504e-16,0.00022705206,4.2282042e-13,5.1374776e-15,2.8742068e-11,9.382494e-08,9.588624e-09,1.4325611e-13,8.2151634e-19,6.066863e-14,6.558492e-14
52,52,56,7,2.5193631e-25,3.0466083e-15,0.0,1.875945e-07,4.88211e-10,3.4984247e-13,3.839472e-19,1.0,6.498045e-16,2.0326577e-20,1.5733189e-20,3.232951e-11,7.3923694e-11,2.5987744e-15,2.8513356e-21,2.0987151e-15,4.797844e-19
53,53,54,7,2.053429e-26,3.3765505e-14,0.0,2.9784194e-22,5.974869e-10,1.7056837e-15,9.395277e-16,1.0,7.745126e-19,3.4425287e-22,1.4445954e-28,1.14231326e-10,9.808967e-18,1.8069217e-16,3.8481062e-20,2.7080981e-22,1.7905267e-19
54,54,55,7,2.911006e-26,1.3745846e-11,0.0,1.0931723e-24,3.1743593e-07,2.084332e-13,9.510829e-13,1.0,1.4517703e-15,1.2236783e-17,1.7562236e-26,4.0014547e-07,2.4301158e-16,4.342195e-15,1.4755825e-16,1.0835839e-20,1.9275744e-13
55,55,47,7,5.466993e-26,4.0836987e-12,0.0,2.1983469e-20,7.352614e-08,1.1286581e-14,2.8406533e-13,1.0,9.2092995e-17,2.2136723e-19,1.7395005e-27,3.474265e-10,1.3733756e-16,7.3654406e-16,4.2157317e-16,6.948273e-20,1.6593086e-15
56,56,57,7,8.337722e-27,2.7353473e-18,0.0,3.6140487e-14,6.584871e-12,7.0504947e-16,1.4382834e-20,1.0,1.2620164e-17,8.938403e-23,5.998665e-25,7.06809e-13,3.7532227e-11,5.0199593e-16,6.851743e-23,2.6203421e-18,6.185441e-20
57,57,58,7,1.2646702e-27,1.4598584e-12,0.0,1.4794497e-30,2.896048e-07,3.4668027e-15,3.3540444e-15,0.9999161,2.7751445e-14,1.3991494e-16,1.2658183e-28,2.1692468e-07,8.4312414e-05,2.4783936e-10,4.007014e-15,3.9115564e-19,1.5143572e-12
58,58,53,7,1.1429049e-27,1.487963e-14,0.0,6.1079026e-34,1.0661847e-08,1.1741633e-17,2.8814825e-13,1.0,1.8148372e-17,3.5169846e-20,7.852736e-33,1.4713489e-10,9.868282e-15,3.7044825e-15,5.0668005e-18,7.161014e-21,2.0427283e-16
59,59,60,3,5.1016166e-17,9.1271435e-10,0.0,0.99929076,1.8803503e-08,1.3627995e-05,3.140758e-12,5.277541e-14,1.3629385e-07,3.2880832e-13,0.000692573,1.3809154e-07,1.1055963e-13,4.384013e-11,3.4876573e-06,1.702763e-17,2.4897678e-15
60,60,61,3,1.8827576e-20,2.9046737e-10,0.0,0.9961774,1.2799276e-07,3.2196547e-06,1.6363435e-11,3.2851868e-13,1.2828061e-08,1.9578024e-13,0.0038178437,1.938464e-07,3.2264637e-15,6.02717e-12,7.78641e-07,1.7127947e-18,3.4451553e-15
61,61,629,3,6.529057e-23,3.2119932e-10,0.0,0.99965674,1.8965451e-07,3.4865362e-08,1.0615667e-15,1.9119788e-10,4.41254e-09,4.929522e-14,0.0003440814,3.599036e-08,4.7251636e-15,2.586691e-13,1.9647024e-11,1.16391095e-17,5.108964e-15
62,62,63,2,1.191928e-36,2.05173e-26,1.0,2.77e-43,9.914242e-22,7.099071e-24,1.9128148e-28,2.931239e-28,1.9359591e-22,5.565984e-32,2.5031346e-33,1.9518937e-23,5.631047e-28,3.3603554e-24,1.4240417e-25,5.7625296e-31,1.8470597e-28
63,63,64,2,1.6111383e-36,4.5631936e-26,1.0,2.116e-42,1.8677769e-21,8.4926525e-24,1.7832794e-28,5.1708884e-28,6.0293697e-22,1.7217449e-31,7.855279e-34,3.1765867e-23,9.6890986e-27,4.7936237e-24,2.0705937e-25,4.5756996e-30,4.692604e-27
64,64,68,2,2.7673528e-37,9.111168e-27,1.0,1.439e-42,1.3353188e-21,2.211759e-24,9.930639e-28,1.4836448e-28,1.4023993e-22,7.537372e-32,5.117966e-34,2.4120333e-23,6.887658e-27,2.1676563e-24,1.057028e-24,1.0900006e-29,1.4132709e-27
65,65,66,8,3.2099131e-16,4.554425e-05,0.00061544694,7.8310974e-13,0.19505237,2.227096e-05,4.3204784e-10,1.379787e-09,0.8039242,7.9285216e-12,1.6712319e-08,3.496611e-05,4.310028e-09,2.3610464e-06,0.00030163274,1.7469977e-09,4.587556e-12
66,66,67,8,1.6079496e-16,5.0511617e-06,1.5359358e-19,2.791034e-09,0.019995067,7.394843e-06,3.9670847e-10,2.397637e-10,0.9781513,1.3756652e-11,2.2242e-06,5.0037916e-06,3.044644e-08,4.117151e-07,0.0018324226,1.9603527e-11,3.1352275e-12
67,67,59,3,8.8127666e-14,2.029727e-07,0.0,0.9995728,1.431713e-07,2.61041e-07,4.5005263e-11,4.0741114e-13,2.7899434e-05,4.882715e-14,0.00038214846,1.3266404e-08,9.8567134e-11,2.8193178e-08,1.6165937e-05,1.4778021e-16,2.0518296e-13
68,68,69,2,1.9428531e-38,4.0392637e-27,1.0,6.725e-42,3.9143268e-22,9.373612e-25,2.7926793e-28,2.5440915e-29,1.2165349e-23,1.4544794e-32,3.447398e-33,2.999191e-23,4.844092e-28,1.1089142e-24,8.924254e-25,1.8116644e-30,1.4109547e-27
69,69,70,2,2.8487016e-38,4.1202378e-26,1.0,8.4999e-41,6.1642376e-21,5.712234e-24,7.2106625e-27,1.9152765e-27,7.349697e-23,1.3415307e-31,1.0587024e-32,1.1413398e-21,9.4399156e-27,5.1352403e-24,2.4345782e-24,1.869737e-29,2.775816e-26
70,70,65,2,7.943241e-33,3.1543337e-22,1.0,4.4501925e-36,1.27139e-18,1.8980238e-20,3.627468e-25,2.9070775e-26,3.333427e-18,4.4731875e-28,8.2471486e-29,5.2656602e-20,3.89933e-24,2.0024722e-21,1.6534788e-20,1.1173643e-24,1.1429931e-25
71,71,72,10,2.4467482e-23,2.1067053e-14,0.0,0.018284993,1.3602497e-12,3.693271e-12,1.5539921e-21,1.1809011e-17,1.8634364e-13,1.4145604e-19,0.98171383,5.662777e-13,3.9832675e-16,1.2737171e-15,9.681252e-15,9.130719e-20,3.3735986e-16
72,72,73,3,5.0561854e-24,5.556213e-14,0.0,0.9987115,7.645901e-12,8.504667e-12,9.923436e-22,4.6821165e-16,1.5158244e-13,1.3311302e-18,0.0012881887,3.179403e-13,1.4474783e-16,6.3639843e-15,4.054278e-15,1.0474088e-20,5.0775615e-17
