source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79
20,18,0018,0,column,13,1.2278510829334243e-14,3.524967262524825e-10,6.917032919773192e-07,0.0,0.0,4.047749458980404e-26,0.0,2.374976689276273e-40,4.620442887768506e-23,0.0,2.505284590892387e-10,6.188266197789561e-22,2.022554385445913e-37,1.0,4.5798543624187005e-08,0.0,1.509736670244471e-35,0.0,0.0,4.535814205400758e-23,8.360615758073922e-21,2.6698290265398577e-21,0.0,0.0,9.404385507708441e-31,2.892180423291402e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,19,0019,0,column,13,2.6435984800517217e-23,1.5235027101728914e-24,0.0021204885561019182,0.0,0.0,2.60309584914873e-26,0.0,0.0,4.3230636869637975e-34,0.0,0.00031691009644418955,5.027669598273008e-21,4.273960316190692e-43,0.9975615739822388,2.195169930498986e-21,0.0,1.4165990567239662e-30,0.0,0.0,5.348264197371244e-32,6.066577808282052e-24,1.2607778148082943e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,20,0020,0,column,13,1.5503553615594001e-30,1.971656480659681e-13,1.9624568897008698e-13,0.0,0.0,3.3087849304609945e-26,0.0,1.401298464324817e-45,1.796738948903729e-27,0.0,1.463671128743016e-10,2.2838173140221246e-36,0.0,1.0,7.111678879319669e-23,0.0,2.5924021590009116e-43,0.0,0.0,1.1860573430587766e-31,1.5496505895601865e-24,3.037176713021355e-36,0.0,0.0,2.4648805585035714e-34,1.657658686779477e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,21,0021,0,column,2,3.953692841868195e-13,0.0,1.0,0.0,0.0,5.050774751426723e-29,0.0,1.5518961491492602e-27,0.0,0.0,1.0068081091052505e-10,9.115003601720291e-17,0.0,1.407177014005942e-18,5.073972003745219e-35,0.0,2.6237318585114757e-19,0.0,0.0,2.3579298581658472e-23,4.9448857877227305e-31,0.0,0.0,1.3689340749927711e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,22,0022,0,column,2,8.436663618658789e-16,2.132209922050577e-25,0.9598836898803711,0.0,0.0,8.143904162662268e-25,0.0,3.6573889918877726e-43,2.085133908577362e-37,0.0,0.0133574940264225,4.9570762761194997e-20,0.0,0.02675931714475155,3.6618650443012094e-17,0.0,1.1242667906625132e-21,0.0,0.0,1.9803136319331135e-28,7.033098452368669e-28,8.139783418879133e-30,0.0,0.0,0.0,2.382207389352189e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1063,1076,0,column,11,1.961430878827386e-10,4.2319213622609476e-43,1.5586625162829784e-16,0.0,0.0,1.6592171508527806e-26,0.0,1.5444027601809378e-26,0.0,8.543933097471301e-38,2.802596928649634e-45,1.0,0.0,2.4050779815884344e-38,1.6206040504822153e-16,0.0,0.0,0.0,0.0,1.7963537646651366e-21,7.502416680343722e-21,5.587471635620952e-39,0.0,0.0,0.0,4.925570828334361e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1064,1077,0,column,2,4.3389000142887886e-15,2.9917722213334844e-42,1.0,0.0,0.0,3.1812445474123126e-22,0.0,3.6112403277584766e-35,1.401298464324817e-45,1.961817850054744e-44,2.428150791544681e-09,1.709421013655545e-17,0.0,8.761229041643202e-18,1.928031829305552e-34,0.0,4.024201873198781e-22,0.0,0.0,6.01280234242756e-17,2.1459204422977384e-38,1.4958554222303735e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1065,1078,0,column,2,3.314679463523561e-14,2.2420775429197073e-44,1.0,0.0,0.0,9.59232848374051e-22,0.0,4.427808275678502e-28,0.0,5.115860433557042e-41,1.3036874342731824e-17,1.1253677989486732e-09,2.5223372357846707e-43,4.9903728939165e-28,1.9103441979511526e-34,7.006492321624085e-45,8.449829739878647e-43,0.0,0.0,7.744652709944241e-19,1.7168917578378843e-38,0.0,5.605193857299268e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1066,1079,0,column,2,1.1202263075493768e-12,2.6624670822171524e-44,1.0,0.0,0.0,1.3145242858718222e-24,0.0,3.9868578290343426e-22,0.0,3.268245886007535e-38,3.4049589691220027e-19,1.4275342019587356e-09,0.0,1.4127352538125874e-30,1.5481147752871848e-31,1.3032075718220799e-43,0.0,0.0,0.0,1.0712089906757577e-20,3.175202190313603e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1067,1080,0,column,11,7.831830295401687e-09,0.0,2.8104912175308527e-08,0.0,0.0,1.7673580209336267e-28,0.0,7.467142692739923e-17,0.0,3.143164561362662e-36,1.0413973072760907e-34,1.0,0.0,5.831503559287726e-41,3.162924799055929e-22,1.5511958094691513e-37,0.0,0.0,0.0,9.062295074061983e-19,4.4374777078908523e-29,0.0,0.0,1.401298464324817e-45,0.0,1.219529040751156e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
