node_id,x,y,z,is_support
81,15.849599838256836,-2.842170943040401e-14,10.439399719238281,0
82,15.849599838256836,-2.842170943040401e-14,13.792200088500977,0
83,17.52599999999984,-7.924799999999891,21.908260412276604,0
84,17.525999069213867,-7.924799919128418,23.85059928894043,0
85,17.525999069213867,-7.924799919128418,27.203399658203125,0
86,17.52599999999984,-7.924800000000005,0.0,1
87,17.525999069213867,-7.924799919128418,3.733799934387207,0
88,17.525999069213867,-7.924799919128418,7.086599826812744,0
89,17.52599999999984,-7.924799999999948,15.164481538219434,0
90,17.525999069213867,-7.924799919128418,17.145000457763672,0
91,17.525999069213867,-7.924799919128418,20.497800827026367,0
92,17.52599999999984,-7.924799999999948,8.420702664162263,0
93,17.525999069213867,-7.924799919128418,10.439399719238281,0
94,17.525999069213867,-7.924799919128418,13.792200088500977,0
95,26.21279999999979,-7.924799999999891,21.908260412276604,0
96,26.212799072265625,-7.924799919128418,23.85059928894043,0
97,26.212799072265625,-7.924799919128418,27.203399658203125,0
98,26.21279999999979,-7.924800000000005,0.0,1
99,26.212799072265625,-7.924799919128418,3.733799934387207,0
100,26.212799072265625,-7.924799919128418,7.086599826812744,0
101,26.21279999999979,-7.924799999999948,15.164481538219434,0
102,26.212799072265625,-7.924799919128418,17.145000457763672,0
103,26.212799072265625,-7.924799919128418,20.497800827026367,0
104,26.21279999999979,-7.924799999999948,8.420702664162263,0
105,26.212799072265625,-7.924799919128418,10.439399719238281,0
106,26.212799072265625,-7.924799919128418,13.792200088500977,0
107,36.42359924316406,-9.144000053405762,5.551115123125783e-17,1
108,36.42359924316406,-9.144000053405762,3.733799934387207,0
109,36.42359924316406,-9.144000053405762,7.086599826812744,0
110,36.42359999999985,-9.143999999999949,15.164481538219434,0
111,36.42359924316406,-9.144000053405762,17.145000457763672,0
112,36.42359924316406,-9.144000053405762,20.497800827026367,0
113,36.42359999999985,-9.143999999999949,8.420702664162263,0
114,36.42359924316406,-9.144000053405762,10.439399719238281,0
115,36.42359924316406,-9.144000053405762,13.792200088500977,0
116,41.909999999999854,5.684341886080802e-14,21.908260412276604,0
117,41.90999984741211,6.383556657314207e-15,23.85059928894043,0
118,41.90999984741211,1.7402632408584397e-14,27.203399658203125,0
119,41.909999999999854,-5.684341886080802e-14,0.0,1
120,41.90999984741211,-1.2655455737455457e-14,3.733799934387207,0
121,41.90999984741211,-3.292459756438007e-14,7.086599826812744,0
122,41.909999999999854,0.0,15.164481538219434,0
123,41.90999984741211,-2.0074799434539534e-14,17.145000457763672,0
124,41.90999984741211,-5.944396755700691e-15,20.497800827026367,0
125,41.909999999999854,0.0,8.420702664162263,0
126,41.90999984741211,-2.842170943040401e-14,10.439399719238281,0
127,41.90999984741211,-2.842170943040401e-14,13.792200088500977,0
128,41.909999999999854,-6.197599999999909,21.908260412276604,0
129,41.90999984741211,-6.1975998878479,23.85059928894043,0
130,41.90999984741211,-6.1975998878479,27.203399658203125,0
131,41.90999984741211,-6.1975998878479,5.551115123125783e-17,1
132,41.90999984741211,-6.1975998878479,3.733799934387207,0
133,41.90999984741211,-6.1975998878479,7.086599826812744,0
134,41.909999999999854,-6.197599999999966,15.164481538219434,0
135,41.90999984741211,-6.1975998878479,17.145000457763672,0
136,41.90999984741211,-6.1975998878479,20.497800827026367,0
137,41.909999999999854,-6.197599999999966,8.420702664162263,0
138,41.90999984741211,-6.1975998878479,10.439399719238281,0
139,41.90999984741211,-6.1975998878479,13.792200088500977,0
140,41.909999999999854,-9.143999999999892,21.908260412276604,0
141,41.90999984741211,-9.144000053405762,23.85059928894043,0
142,41.90999984741211,-9.144000053405762,27.203399658203125,0
143,41.90999984741211,-9.144000053405762,5.551115123125783e-17,1
144,41.90999984741211,-9.144000053405762,3.733799934387207,0
145,41.90999984741211,-9.144000053405762,7.086599826812744,0
146,41.909999999999854,-9.143999999999949,15.164481538219434,0
147,41.90999984741211,-9.144000053405762,17.145000457763672,0
148,41.90999984741211,-9.144000053405762,20.497800827026367,0
149,41.909999999999854,-9.143999999999949,8.420702664162263,0
150,41.90999984741211,-9.144000053405762,10.439399719238281,0
151,41.90999984741211,-9.144000053405762,13.792200088500977,0
152,0.0,-38.480999999999824,8.420702664162263,0
153,0.0,-38.48099899291992,10.439399719238281,0
154,0.0,-38.48099899291992,13.792200088500977,0
155,0.0,-38.48099999999988,0.0,1
156,0.0,-38.48099899291992,3.733799934387207,0
157,0.0,-38.48099899291992,7.086599826812744,0
158,0.0,-16.459199999999896,21.908260412276604,0
159,0.0,-16.459199905395508,23.85059928894043,0
160,0.0,-16.459199905395508,27.203399658203125,0
161,0.0,-16.45920000000001,0.0,1
162,0.0,-16.459199905395508,3.733799934387207,0
163,0.0,-16.459199905395508,7.086599826812744,0
