beam_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
36,-0.63548267,0.2917647,0.8039754,-2.8268194,-0.41440955,0.82663226,0.2452501,0.34669867,0.20495373,0.9363984,-0.8511108,-1.473746,0.711402,1.0537574,-0.86456615,-1.2054869,-1.4056858,1.11647,1.2967643,-0.1129787,1.4516985,0.89784,-0.062268186,0.12855256,1.53524,0.58944166,1.2455279,-0.80957013,0.46936843,0.36638713,0.4111695,1.33651
37,0.8403007,1.2959173,0.5048718,-0.42189115,-0.45286164,1.5847621,-1.4171169,1.8167024,-2.0134532,-0.7803253,-0.48717064,-0.44109705,0.28755477,0.93661195,-1.4951092,0.17835476,-0.50352895,1.1868631,2.397137,-0.11994427,0.4992988,-0.32665506,-0.85555017,-0.42211094,-0.27919263,0.6788333,0.69875294,-1.5510556,0.36713564,-0.30553493,-0.38633332,0.693086
38,1.677479,-0.51390743,-0.80346686,1.1432908,0.4344254,1.2204722,0.17958355,0.18714043,1.142914,-0.69800204,-0.16173159,-1.1836509,0.26831576,-0.8175079,-0.4998704,-1.4995134,-0.79629743,1.1634008,-0.07327373,-0.06525231,-0.6241983,1.1597602,0.37456712,-2.660974,0.39633358,-1.5277799,-0.04167749,-1.3543164,-1.4959551,0.82358116,-0.12242218,-0.6044547
39,0.94304717,0.8302531,0.9654055,-0.99929327,-0.43709275,1.5763688,-1.3533144,2.005746,-1.8062484,-0.06622448,-0.55610937,-0.32932732,0.7620191,0.8111471,-1.2223542,-0.077663556,-0.47860497,1.1908125,2.4309855,-0.14913492,0.56380534,-0.68724823,-0.47609517,-0.1978761,-0.18737075,0.688931,1.1225255,-1.3538601,0.63190544,-0.4364518,-0.6043889,0.6022668
40,1.687297,-0.5520391,-0.7996524,1.1556032,0.42101604,1.2222517,0.18548547,0.18424742,1.1245092,-0.69788736,-0.18100408,-1.168501,0.26845345,-0.83068734,-0.524437,-1.5023825,-0.7905698,1.1835488,-0.04548797,-0.079657435,-0.59257096,1.1349486,0.33666235,-2.6510773,0.36472338,-1.5356073,-0.021391187,-1.3759658,-1.4909356,0.82607913,-0.12011146,-0.6166199
41,-1.5959786,0.8689553,-0.62667996,-0.14219777,-2.3488238,2.0880826,0.10731625,0.14990844,-0.2561685,-0.22179885,1.178589,-0.26542443,0.49071503,0.49116227,-1.459041,-0.1516826,-1.8387254,1.1101851,0.4221735,0.4324843,0.65029764,1.6401062,1.0786175,-2.0401936,-0.31731534,-0.7011565,0.30194587,-0.30503574,-0.23884067,1.0499635,0.24581526,0.4087981
42,-1.2210445,-1.2956597,-1.283842,0.15136415,-2.0748038,1.1278623,-0.54162526,-0.66866606,-0.10385661,-0.43579322,-0.062281806,0.27307507,2.029725,-1.2727509,-0.35120568,-0.1567942,-1.4335464,0.22204252,1.1041825,-0.3382779,-0.09919014,0.9180182,0.20433927,-1.3602278,-1.1843519,-0.4735971,-0.12675919,-0.84958225,1.4105293,-0.32460755,-0.14513469,-2.341223
43,-0.57704085,-2.0144444,-0.5928482,-0.9060342,-1.5400267,-0.038902774,-0.65508085,0.2761797,-0.82864285,0.87871647,-0.3879853,0.28827307,2.847952,-0.43309927,0.0669372,-0.9521169,-0.99248916,1.1221652,-0.44237173,0.047264036,1.0774077,0.48629883,-0.953264,0.5032163,-0.75191104,-1.2668078,-0.6188914,-0.23937306,1.9269024,-0.3466125,-0.65967864,-1.4232408
44,-0.14044657,0.8683449,-0.73165613,-0.12952304,-2.283365,0.6026934,-0.8037794,2.0540812,-1.5256995,0.0075685093,-1.3576232,-0.52560097,0.14063744,1.0716997,-1.1088406,-0.5646009,-1.175416,0.80827636,-0.05344593,-1.2958083,0.901234,1.2953467,1.520141,0.26180798,-0.19260503,-1.3028338,0.7549435,-0.4213467,1.070174,-0.048644446,0.5966146,0.5210669
45,0.78256524,1.6015388,-0.09773113,0.07072433,0.34704968,1.6521614,-0.7884678,2.3106425,-1.8252097,-1.1752144,-0.4783128,0.5003124,-0.72852665,0.41993198,-1.7231263,0.73494506,-0.8308692,0.6832854,1.9052091,-0.16502957,0.0852429,-0.7487507,1.243499,-0.93084466,-1.2800517,0.7946402,0.44963986,-0.47097754,0.5671674,-0.0013463885,-0.06357826,-0.46095535
46,-0.13234124,0.99281716,0.20901667,-0.92703766,-0.9626256,1.5030918,0.3283885,-0.12723133,-0.31927073,0.5744364,0.6621457,-0.11517271,2.9371152,-0.59142524,-1.5647054,0.22833596,-0.4974514,1.8840165,2.1488492,0.43806976,0.080891766,1.1951321,0.9356255,-0.10658453,0.23696062,-0.30051127,0.3413516,-1.8446773,0.6859889,0.09212511,-0.8871056,0.4085379
47,-0.050989307,1.0211608,0.26346013,-0.8835478,-1.0473228,1.2697786,0.15352364,-0.104846574,-0.29227772,0.6685861,0.7657771,-0.26715133,2.9073286,-0.5807676,-1.5083338,0.19152765,-0.50897175,1.9038619,2.2731385,0.2986972,-0.12746103,1.1081913,0.8405464,-0.03845616,0.6117492,-0.14491859,0.34700248,-1.9408368,0.60790527,-0.0038787657,-0.67809796,0.64415544
