beam_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
29,1.7485185,1.0540754,-0.8737297,1.1305892,1.0251541,-0.25215182,-0.047016747,0.8338399,1.9604027,0.76742166,-1.1280111,0.38292885,-0.7626288,-0.5528056,0.745282,-0.40934083,0.81002563,0.7548072,0.46951103,-0.21592362,-0.71532303,0.39171812,-1.2466797,-0.8305581,0.8904542,0.96684897,0.91835105,2.140782,1.0559622,1.1124984,1.543018,0.033475712
30,1.6896949,0.32149628,-0.84971917,0.5771557,0.8848053,-0.6860771,0.50809693,0.52372056,1.6588911,0.81806123,-1.1072694,0.8761885,-1.1392326,-0.5395142,0.44879264,-0.359598,0.87530994,0.8672917,1.1363083,-0.9179269,-1.1454422,0.75111735,-1.4039724,-0.89929724,0.47093275,0.7343078,0.46899572,2.2071955,1.1674827,0.70527506,1.4430578,0.21847568
31,1.3079005,0.48089492,-0.19194646,0.72158927,1.6003178,-1.8966681,1.598597,0.044358373,0.16953592,1.0579075,-0.40385026,-0.23767851,-1.3231227,-0.9229347,0.6742859,-0.18081962,0.68943256,0.7193552,1.718445,-0.18062817,-1.7887548,0.0822418,0.8902945,-0.7737104,-0.39176604,1.4859924,0.4727988,0.7128132,2.2620842,1.2433777,0.0018352517,0.83315796
32,1.4869121,1.3673908,-0.9460723,1.0544696,0.8194873,-0.18334009,-0.94809365,1.067154,2.5031707,0.2719791,-1.2875633,-0.5944918,-0.6440434,-1.1582342,0.5929349,-0.17901704,0.23605676,0.82094306,-0.5761864,-0.10143711,-0.64453655,-0.0077812592,-0.49074045,0.26616904,1.0280871,0.5677068,0.9612565,1.581718,1.0243031,1.53187,1.3644892,-0.26289
33,1.5354892,1.3770969,-0.86013484,1.0145419,0.97504234,-0.30196318,-0.7049386,0.91004753,2.451079,0.47507074,-1.3043602,-0.23425138,-0.69512856,-1.0357935,0.62988573,-0.30607557,0.3718628,0.70123243,-0.3544831,-0.12183062,-0.6051992,0.1704366,-0.7365983,-0.048113897,1.094528,0.7073101,1.1402631,1.7242277,0.92245376,1.4349359,1.520398,-0.1935157
34,1.8045441,1.3734308,-0.74000424,1.0015537,1.5093222,-1.4827943,0.018019151,0.72244114,1.6200614,0.72298896,-0.44106045,-0.48458865,-0.8908492,-1.3522192,0.61563796,-1.014801,0.86004996,0.9104161,-0.3648197,0.0940098,-1.0059179,0.4063441,0.13715939,-0.48158014,0.88004565,1.2772411,1.1253816,1.1468008,1.6199043,1.3939197,0.860426,0.29497677
35,1.0196998,-1.511677,-0.25450194,0.05663011,1.0702988,-0.9516253,1.8620907,-1.0739247,-0.20246676,0.6112774,-0.5986547,0.83674365,-1.0500342,0.20551623,0.32412803,0.19429626,0.122644335,0.027934678,2.81737,-1.4388955,-1.5149095,0.72381204,0.4486154,-1.1151795,-1.0593959,0.7190649,-0.17926449,0.947399,1.4795793,-0.09118351,-0.36599106,0.54494864
36,1.2218227,-1.7786589,-0.20496862,-0.05217784,0.8173543,-0.8312478,1.7739427,-0.71851677,-0.07872997,0.70703566,-0.3276152,0.8121562,-1.2173545,0.13826251,-0.02997527,-0.0062760576,0.29065198,0.2447301,2.6240926,-1.6514463,-1.4747565,0.75303555,0.097926065,-1.1912329,-0.8009887,0.7331565,-0.35942966,1.1258333,1.3923113,-0.1761131,-0.39941406,0.4947866
37,1.3288666,-1.8190005,-0.3296737,-0.045743525,0.77128243,-0.8345631,1.7233132,-0.6162764,-0.022520581,0.76694745,-0.30001292,0.79541534,-1.1365348,0.1377479,-0.055474065,0.045375697,0.36008474,0.20387693,2.4952226,-1.6753852,-1.4304752,0.74240875,0.0118443025,-1.2660837,-0.72615385,0.7680539,-0.4532101,1.2292016,1.4082959,-0.21888036,-0.47547922,0.39289072
38,1.5529784,-0.9809051,-0.5430951,-0.67012495,1.4929473,-1.050554,1.1659914,0.020215642,-0.31208974,-0.69763726,-0.62616134,1.7498802,-0.21415843,-0.55063903,-0.77679425,-1.7027732,0.86627173,-0.8591715,0.71609783,-1.6635044,0.7809316,1.315421,0.51450926,-0.3508399,0.48952633,1.2462424,0.737726,0.91530025,1.1869527,-0.70959777,0.015581485,1.2944366
39,1.8255409,-0.6357273,-0.44082174,-0.57846296,1.5387535,-1.1129943,1.0825423,-0.13760869,0.22657387,-0.5613692,-0.7334995,1.5392374,-0.4166975,-0.6698315,-0.47046128,-1.9180387,0.8602253,-0.67233694,0.6609612,-1.6582519,0.6022527,1.27071,0.5579877,-0.62978053,0.71887535,1.2095269,1.0064884,1.1415805,1.0728235,-0.51724684,0.45294136,0.9935399
40,1.6707077,-0.63727283,-0.6349772,-0.49568856,1.5297453,-1.0205573,1.150623,0.05158429,0.13711156,-0.5779212,-0.9419695,1.6286643,-0.38721266,-0.57593435,-0.24780786,-1.8765652,0.9609407,-0.84569985,0.61233276,-1.5405389,0.6745391,1.4770676,0.3103056,-0.6687696,0.56184846,1.1484241,0.9143077,1.2296107,1.2617989,-0.4992039,0.5190904,0.82378393
41,0.9454619,-1.1563845,-0.38911644,0.011245189,1.6905891,-1.2949957,1.9817871,-0.91799074,-0.34926197,0.09941535,-1.0449216,1.3251259,-0.7510051,-0.22768587,0.37484926,-0.4365329,0.1638515,-0.72060686,2.2968805,-1.484156,-0.64079386,0.99002576,0.6499383,-0.67903775,-0.36609492,0.7481964,0.7257362,1.1252412,1.7852118,-0.017102648,0.09670143,0.8051247
42,0.834203,-1.2961326,-0.109037094,0.048730485,1.5276492,-1.2482812,2.011728,-0.9074772,-0.34025198,0.33692458,-0.8199271,1.1546342,-1.0280708,-0.081214815,0.33821905,-0.3053609,0.021130342,-0.32568407,2.6072567,-1.450269,-1.187067,0.8667515,0.520103,-0.7080028,-0.5422842,0.6829949,0.51231366,1.1070724,1.7702198,0.13808599,0.051160056,0.7720356
43,0.7143107,-1.4896135,-0.18240598,0.058807477,1.3022429,-1.0677688,2.0413077,-1.202504,-0.35448375,0.321782,-0.71816516,1.0258316,-1.0365674,0.12951963,0.42272833,0.01408892,0.06535773,-0.32589415,2.7988727,-1.3778862,-1.2466065,0.77554244,0.6392284,-0.9781224,-0.94726366,0.6587472,0.14498629,0.9228906,1.5433261,-0.11248975,-0.23755868,0.6576514
44,1.544882,-0.6739312,-0.6569953,-0.39913228,1.6079676,-1.1473454,1.3384694,0.011935389,0.03252642,-0.426422,-1.0412267,1.6699941,-0.4029943,-0.5801328,-0.1997288,-1.6557252,0.7946659,-0.9481293,0.76013243,-1.5176121,0.58011794,1.4818144,0.24478227,-0.6361985,0.53997046,1.0782771,0.94003856,1.2831739,1.4204568,-0.37297004,0.4217951,0.92307216
45,1.4992926,-0.68060136,-0.56662,-0.1542624,1.7903699,-1.2704158,1.3851069,0.024751294,0.10553224,-0.2006965,-1.0144582,1.5415685,-0.5486676,-0.6044404,-0.16163023,-1.5454723,0.61832446,-0.91948867,0.83103716,-1.4785036,0.4440645,1.4131973,0.11978329,-0.58954304,0.78160256,0.99800247,1.1257623,1.4598614,1.5220762,-0.099645846,0.47203538,0.9866088
46,1.1414938,-0.94295675,-0.62292314,-0.057464126,1.8518,-1.3852168,1.7839054,-0.5875818,-0.23972414,-0.108096935,-1.1828067,1.480863,-0.52467805,-0.47538283,0.2578477,-0.81397897,0.38352585,-1.0203518,1.6482987,-1.4642432,-0.01941481,1.1929089,0.5247471,-0.60270923,0.10144362,0.8729752,1.0094306,1.2392491,1.7809849,-0.11918596,0.25909775,0.87929523
47,0.96415997,-1.2815263,-0.35036445,0.242088,1.2141225,-1.0213754,1.9429672,-1.219077,-0.1193088,0.59420574,-0.5091803,0.84655654,-0.93315506,0.17750245,0.41262057,0.18310334,0.026579248,-0.10452712,2.77641,-1.4579613,-1.492847,0.6301498,0.4797285,-1.1224521,-1.0527233,0.68269205,-0.07858861,0.9969878,1.6024541,0.05601984,-0.3983624,0.4619623
48,1.2361432,-1.4948602,-0.35687038,0.1729017,0.95390785,-0.9322562,1.8103302,-0.83902943,0.11538085,0.8201325,-0.25439104,0.767823,-1.1426528,0.09792649,0.09418717,0.06113509,0.20825012,0.20591901,2.585288,-1.630555,-1.5396256,0.624168,0.017677605,-1.2648233,-0.8154133,0.76713336,-0.23708692,1.2142618,1.5113858,0.042244546,-0.43680483,0.36221647
49,1.3592331,-1.4810812,-0.49428278,0.19533493,0.9440966,-0.90406156,1.7822905,-0.7186104,0.2187552,0.9287107,-0.21821564,0.70245874,-0.9860038,0.030207496,0.17198558,0.062020775,0.29865226,0.14305148,2.4188726,-1.6103231,-1.4833134,0.58171165,-0.10202408,-1.4042431,-0.7443847,0.9260666,-0.27647182,1.2852052,1.6086901,0.052705713,-0.5795282,0.2515747
50,2.3421795,1.0029157,-0.79861134,0.4566389,1.5248835,-0.60242283,0.19761679,0.2663708,1.2877543,-0.13320372,-0.8459966,0.5900484,-0.45805913,-0.6353543,0.17393614,-1.8165882,1.0854156,0.31711286,0.18551645,-1.1050483,0.11456185,0.72605205,0.08389261,-0.66265225,0.7047055,1.1580433,1.7459269,1.7146162,1.068009,0.4202924,1.3703521,0.029820178
51,1.9350474,-0.010947032,-0.486513,-0.18767442,1.6373795,-0.94929904,0.70924646,0.0006141361,0.6863545,-0.44660068,-1.0062791,1.2764648,-0.5503632,-0.5077543,-0.06759595,-2.0592945,0.9704321,-0.45600426,0.5287474,-1.669788,0.47668117,1.1804402,0.32518482,-0.67491055,0.7294561,1.0533376,1.2492085,1.514231,1.0084562,-0.24871555,1.0081877,0.480886
52,1.8432974,-0.2180149,-0.8221248,-0.21615772,1.592979,-1.0017605,0.9805595,0.16295849,0.3769849,-0.49296114,-0.90790486,1.4261187,-0.4256123,-0.62774235,-0.07254215,-1.9851553,1.0094806,-0.6387943,0.4735227,-1.5101517,0.61349905,1.3930578,0.10210118,-0.62811863,0.65350837,1.0402414,1.1332568,1.5129099,1.3544518,-0.2023622,0.757694,0.5905434
53,0.8914487,-0.96560806,-0.42855966,0.1814338,1.8003589,-1.3348299,2.0277178,-1.103368,-0.29922062,0.11148492,-1.0145147,1.2025342,-0.68054307,-0.31232905,0.5305085,-0.39271975,0.078894615,-0.74573535,2.2908938,-1.4691219,-0.65374804,0.89527684,0.754439,-0.6530125,-0.41907176,0.6391591,0.8059769,1.0802591,1.8605082,0.18684702,0.120333955,0.7176269
54,0.7372484,-1.1092565,-0.12592338,0.2975226,1.744939,-1.2254807,2.0678504,-1.0920352,-0.33709306,0.29325524,-0.74895626,1.0333529,-0.8973102,-0.09162013,0.5244735,-0.33380818,-0.12752673,-0.4163495,2.6445587,-1.4133723,-1.1328986,0.7597147,0.63306236,-0.68411976,-0.5163632,0.57361066,0.6578923,1.0615408,1.8287418,0.34305575,0.06784437,0.70716727
