beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
808,731,732,15,3.1273065e-28,2.7804576e-11,4.8886443e-13,5.378566e-09,4.0676272e-17,4.6579e-41,5.183941e-14,4.9461106e-09,2.8693334e-10,3.3224462e-10,2.240051e-09,3.0560442e-25,0.0,2.0287465e-12,2.0458893e-21,1.0,1.2748511e-13,5.096146e-19,8.178004e-15,8.804455e-09,4.36882e-19
809,732,356,8,2.092e-42,5.5982246e-09,6.465111e-16,1.6169445e-06,0.0014103206,2.473754e-34,1.9000348e-08,0.20249924,0.7951525,2.3658603e-14,2.9864795e-11,2.6020592e-29,0.0,3.6812203e-10,2.2615437e-15,0.00093747495,5.167705e-09,1.1714541e-36,4.9227623e-12,1.0847587e-12,8.569951e-15
810,402,733,15,2.752231e-39,1.2066156e-13,2.1875842e-13,2.6158208e-12,5.813468e-23,0.0,8.364534e-11,2.8960544e-14,1.8991949e-11,1.4014197e-16,6.542772e-11,6.840489e-30,0.0,6.140289e-13,6.2977336e-17,1.0,1.7329383e-18,1.7525853e-12,2.373357e-19,7.4515e-11,4.539856e-19
811,733,734,19,1.1246268e-29,2.4095536e-05,4.5332622e-12,9.698999e-14,7.6928e-41,8.996976e-29,2.3103206e-09,1.6029285e-15,9.1561586e-10,5.856493e-16,5.2848472e-09,6.984057e-23,0.0,5.2512817e-11,1.1622681e-19,1.4868399e-06,1.7019648e-24,2.7731804e-26,5.6569143e-32,0.99997336,3.9365196e-14
812,734,735,1,6.4e-43,0.9974283,5.1846778e-12,4.1078512e-13,1.9388805e-35,6.16851e-39,8.506739e-13,4.0558754e-13,4.9708426e-05,8.3407036e-14,2.5218227e-19,3.2297385e-23,0.0,3.1134303e-11,7.77259e-27,1.4065688e-13,9.790643e-19,1.4928e-41,3.1715779e-28,0.002520516,5.5830243e-22
813,735,736,1,0.0,0.99997336,6.143985e-11,9.411173e-15,2.2556998e-32,1.2344e-41,5.1218318e-12,1.22213325e-11,1.1469752e-05,1.5739625e-11,1.0065324e-16,5.1747297e-23,0.0,1.0927017e-08,7.124033e-23,4.4292779e-13,1.3329187e-18,1.1530974e-31,7.203281e-23,1.5691412e-05,2.1118775e-23
814,736,304,13,4.487197e-30,1.6264526e-06,3.7681938e-14,2.7881e-22,6.67668e-37,0.0,5.2817185e-11,5.4962857e-12,3.8916065e-07,8.572589e-10,3.363236e-12,3.8348502e-32,0.0,0.9999962,2.0862223e-16,1.6684143e-18,1.0579616e-13,1.18581425e-29,9.73676e-32,9.642948e-09,8.245904e-26
815,477,737,9,1.3819474e-23,7.022236e-07,5.0494085e-21,4.112645e-15,9.05701e-26,4.417722e-34,3.152873e-10,1.0198685e-05,5.8714755e-10,0.9999886,6.747635e-13,4.9446538e-33,0.0,9.296814e-07,4.4773658e-15,6.46706e-16,3.1321774e-13,1.7942911e-30,3.3214855e-31,4.823148e-12,1.2214826e-23
816,737,738,7,1.8129938e-35,6.4374335e-06,2.742786e-11,3.6040372e-08,9.83585e-22,1.0097407e-29,2.3956582e-06,0.74420923,0.25429922,2.3786465e-07,1.0644839e-12,1.9868465e-18,0.0,1.4907636e-07,3.1324323e-18,0.0014823794,3.2614442e-09,5.67584e-28,3.842507e-18,1.741875e-15,2.7728533e-18
817,738,511,10,4.8713963e-17,1.5161174e-08,1.6479614e-14,5.2613144e-16,4.6117643e-37,3.002e-42,1.2293049e-05,0.0006994309,1.2870663e-07,0.022120032,0.959525,1.4217334e-27,0.0,0.017643366,3.79438e-11,5.0281635e-08,1.5935045e-13,4.2502972e-19,2.1582913e-24,1.2723044e-07,2.6362575e-15
818,511,739,10,1.4997674e-18,7.678144e-11,4.066637e-16,1.7388658e-17,1.348284e-36,4.3280378e-38,8.833955e-10,2.8879285e-07,6.783517e-11,2.74382e-05,0.9999084,7.8722815e-28,0.0,6.228653e-05,6.8777328e-12,6.644861e-09,3.2889297e-17,1.5237623e-19,9.02713e-28,9.179634e-08,7.906948e-14
819,739,740,15,2.3986546e-16,9.0067855e-09,5.0639902e-14,7.4092277e-10,5.7694585e-16,3.943e-42,1.4385907e-05,5.6363106e-06,0.0033618405,2.393886e-06,1.3813804e-05,2.0905353e-28,0.0,3.2144162e-05,3.1115036e-13,0.9965688,1.0646119e-08,1.8991187e-26,3.7595697e-19,9.457632e-08,2.5487711e-08
820,740,361,9,4.12639e-25,5.5106176e-07,7.807652e-13,4.7066885e-15,2.1490461e-19,3e-45,0.00014944498,1.7428543e-05,9.15258e-06,0.9998131,9.432939e-18,5.2156948e-30,0.0,2.295075e-06,9.43406e-17,4.391335e-15,8.659176e-06,1.2385198e-22,1.5076443e-24,1.8282838e-16,1.2644833e-25
821,361,741,9,4.55394e-27,1.7430986e-07,2.3329537e-12,8.589813e-16,5.833681e-24,2.47577e-40,1.6153037e-07,1.4334167e-09,1.4535916e-10,1.0,6.7463312e-18,6.141528e-25,0.0,3.420625e-09,6.4606955e-17,1.0693366e-17,5.323308e-10,3.709317e-16,3.6844085e-33,4.2159892e-16,1.00050396e-22
822,741,366,9,1.785918e-39,4.1145016e-05,2.4609097e-09,3.5195104e-11,8.958636e-25,1.06129e-40,4.7627423e-11,2.5701623e-09,4.7330927e-11,0.999958,3.528729e-13,2.5999835e-23,0.0,2.21964e-06,4.336775e-18,2.8899073e-18,2.7501452e-08,3.3552352e-22,1.2256505e-31,3.6739233e-11,8.4200426e-23
823,366,742,9,1.1528e-41,2.4557462e-06,3.358437e-07,1.15671085e-07,2.9634642e-19,9.714205e-39,8.4696685e-12,1.8783582e-07,7.647798e-12,0.9999886,2.3358225e-11,2.4936847e-22,0.0,2.936353e-06,7.507786e-17,1.713615e-14,3.942141e-06,2.69686e-23,2.9454647e-27,4.9211286e-12,1.5781717e-25
824,742,743,3,0.0,5.3740774e-08,6.2180894e-12,0.9999427,1.7362357e-08,4.764451e-33,2.0086795e-11,3.619829e-07,2.2840341e-07,1.9048173e-08,1.5450579e-17,5.1930284e-28,0.0,5.4595318e-11,5.9154262e-18,2.826294e-09,5.715101e-05,2.5127392e-26,1.3309569e-19,1.3732669e-14,4.2431414e-32
