beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
1145,450,426,17,2.780256e-11,0.0,1.4790371e-31,5.052897e-13,2.7322889e-05,0.0,0.0007589326,9.22951e-12,2.493e-07,6.7199104e-23,2.18637e-06,2.247293e-08,1.5262286e-12,5.5160116e-11,0.00042766935,0.0,1.6576015e-14,0.9987838,2.1847685e-14
1146,919,917,17,0.0184277,0.0,3.6799722e-24,3.6770358e-11,7.922199e-13,4.44713e-40,1.1663308e-06,4.7497233e-15,0.030062562,1.2444783e-36,2.0783214e-06,1.105007e-11,1.6979402e-06,6.099578e-08,1.049013e-11,0.0,0.0041755713,0.94733006,2.3338121e-16
1147,920,108,0,0.9534971,0.0,2.4863679e-24,1.9565515e-17,0.00011589785,9.590246e-29,6.812519e-08,1.6402534e-14,3.8188907e-19,3.2838625e-26,0.0073237717,2.7355956e-12,4.4323364e-13,0.0005668466,8.7405925e-12,0.0,1.3422119e-08,0.038496684,7.4007164e-20
1148,916,921,10,1.0573908e-09,0.0,8.804592e-31,5.0362223e-17,7.021922e-05,2.4171476e-36,2.2677384e-07,1.1485812e-14,3.0396646e-16,4.4125086e-23,0.8553486,1.35772045e-11,1.755788e-11,2.6886012e-08,1.06057364e-10,0.0,4.5536535e-08,0.14458172,9.857737e-17
1149,921,922,16,1.122598e-09,0.0,7.4403063e-23,1.2709797e-15,8.683584e-07,1.67102e-40,6.6456376e-12,6.1099477e-06,2.2922018e-09,1.5186639e-16,0.0022937832,0.0025509081,1.622345e-05,6.795015e-11,8.917211e-10,3.1514173e-33,0.99513286,5.600959e-09,1.5801466e-11
1150,922,923,12,4.943032e-18,0.0,1.6695438e-15,3.7186968e-08,4.5549218e-08,2.2107163e-36,1.4303291e-11,1.1053171e-07,4.877219e-16,1.5995936e-22,3.5494325e-09,8.25118e-06,0.9993937,8.58256e-12,0.0002634051,2.6687912e-28,0.00033318996,9.544645e-10,3.893007e-12
1151,923,924,17,1.5952757e-19,0.0,3.0541356e-31,3.2146916e-09,1.7062717e-05,3.7100093e-24,4.4105522e-10,1.07103465e-10,6.919516e-14,2.158298e-33,1.7853969e-05,6.6277164e-11,4.138505e-06,7.483487e-08,3.4012315e-05,5.5e-44,1.8027256e-12,0.99992746,2.145443e-18
1152,924,306,17,4.2322798e-16,0.0,7.283363e-36,1.1133449e-14,1.5495813e-07,0.0,4.7708726e-10,3.4338769e-12,5.9943155e-11,3.338333e-29,0.0013213961,3.378683e-10,1.495976e-07,4.6647513e-09,7.3266875e-08,0.0,2.1088634e-11,0.9986772,2.8377644e-26
1153,306,99,6,4.6709314e-16,0.0,9.5024676e-17,1.9555756e-08,2.2658327e-10,1.7816888e-35,0.98637974,1.9042563e-17,1.1068549e-11,7.831982e-31,5.4285138e-08,1.349015e-13,0.013420983,1.1561571e-11,0.00019649342,0.0,5.427289e-09,2.3537443e-06,3.845415e-08
1154,99,925,11,2.7681382e-19,0.0,2.479703e-29,4.5637192e-17,3.1328685e-07,0.0,9.191183e-11,0.00021638944,8.162452e-15,3.251988e-25,2.0191526e-09,0.9997635,7.343833e-10,4.3375972e-13,1.8307717e-05,2.1843056e-33,6.9213437e-12,5.967482e-12,1.1638682e-14
