source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43
1437,661,0662,1,girder,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6696049230244888e-18,2.7435763172434235e-07,5.647223819994405e-28,1.0,1.0987625920222399e-08,0.0,1.9449192256715264e-11,5.2357522207753873e-14,1.4447416541042678e-24,1.1573488234753795e-18,8.602175974134648e-16,9.297227520198783e-17,5.490240921865193e-23,0.0,7.58817036983217e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1438,661,0662,1,girder,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6696049230244888e-18,2.7435763172434235e-07,5.647223819994405e-28,1.0,1.0987625920222399e-08,0.0,1.9449192256715264e-11,5.2357522207753873e-14,1.4447416541042678e-24,1.1573488234753795e-18,8.602175974134648e-16,9.297227520198783e-17,5.490240921865193e-23,0.0,7.58817036983217e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1439,664,0665,1,girder,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5639319218015085e-18,8.407661789000542e-10,4.801311848108777e-31,4.859721229877323e-06,8.150806418694145e-13,0.0,3.646140175420454e-18,0.9999942779541016,5.018546276753721e-22,8.286349640909578e-21,2.190562962617656e-19,2.12961167652503e-22,3.324230580466189e-27,0.0,2.615628593165449e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440,664,0665,1,girder,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5639319218015085e-18,8.407661789000542e-10,4.801311848108777e-31,4.859721229877323e-06,8.150806418694145e-13,0.0,3.646140175420454e-18,0.9999942779541016,5.018546276753721e-22,8.286349640909578e-21,2.190562962617656e-19,2.12961167652503e-22,3.324230580466189e-27,0.0,2.615628593165449e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1441,667,0668,1,girder,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.10637486620413e-16,1.380200501444051e-05,6.084464721205785e-18,0.999549925327301,0.0004373255360405892,0.0,2.7445665184977486e-10,7.640193343661324e-18,2.4281119671475984e-18,1.9872929690745167e-11,1.0456617597951275e-17,5.131341462849548e-10,3.1942163315908863e-24,4.415338842253567e-30,1.745386590812359e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1442,667,0668,1,girder,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.10637486620413e-16,1.380200501444051e-05,6.084464721205785e-18,0.999549925327301,0.0004373255360405892,0.0,2.7445665184977486e-10,7.640193343661324e-18,2.4281119671475984e-18,1.9872929690745167e-11,1.0456617597951275e-17,5.131341462849548e-10,3.1942163315908863e-24,4.415338842253567e-30,1.745386590812359e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443,669,0670,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.502908141501948e-15,6.252411549212411e-05,1.6477672091369522e-13,1.2729464287986048e-05,0.9999236464500427,0.0,2.5958132738039714e-14,5.113785521787862e-28,9.935554169757804e-15,8.985459945543006e-12,1.3868544984294018e-14,1.9683211505139298e-08,2.562810149085601e-16,2.1724939533844523e-21,8.707852772182889e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1444,669,0670,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.502908141501948e-15,6.252411549212411e-05,1.6477672091369522e-13,1.2729464287986048e-05,0.9999236464500427,0.0,2.5958132738039714e-14,5.113785521787862e-28,9.935554169757804e-15,8.985459945543006e-12,1.3868544984294018e-14,1.9683211505139298e-08,2.562810149085601e-16,2.1724939533844523e-21,8.707852772182889e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445,670,0671,1,girder,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.784906937466251e-19,1.776684044330068e-08,1.817382205804962e-37,1.0,2.7518329837050715e-09,8.246355579461674e-23,3.820975480461897e-11,1.3856638411907435e-23,1.0174449389033454e-25,2.759946843606668e-18,5.417407464847201e-07,3.453648065311156e-27,6.58542404635698e-12,0.0,3.3039304625503974e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1446,670,0671,1,girder,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.784906937466251e-19,1.776684044330068e-08,1.817382205804962e-37,1.0,2.7518329837050715e-09,8.246355579461674e-23,3.820975480461897e-11,1.3856638411907435e-23,1.0174449389033454e-25,2.759946843606668e-18,5.417407464847201e-07,3.453648065311156e-27,6.58542404635698e-12,0.0,3.3039304625503974e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
